_event_id,_day_of_week,_start_time,_end_time,_weeks,_break_mins,_spanName,_event_catName,_tag1,_tag2,_capacity_req,_deptName,_global_event,_protected,_suspended,_grouping_id,_registers_req,_lock,_resType,_resName,_resWeeks,_layoutName,_scheduling_status,_quantity
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  5,,,,
59758,Wed,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 1A,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  5,,,,
59760,Wed,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 1A,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  5,,,,
59762,Sat,09:00,10:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 11,,,,
59763,Sat,10:00,11:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 11,,,,
59764,Sat,11:00,12:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  2  (LLE),,,,
59765,Sat,12:00,13:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  2  (LLE),,,,
59766,Sat,09:00,10:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1104,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  9,,,,
59767,Sat,10:00,11:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1104,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  9,,,,
59768,Sat,11:00,12:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1104,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLS,,,,
59770,Sat,12:00,13:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1104,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
59772,Sat,13:00,14:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 2B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  8,,,,
59774,Sat,14:00,15:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 2B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  8,,,,
59776,Sat,15:00,16:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 2B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLN,,,,
59777,Sat,16:00,17:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL GERMAN 2B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  6,,,,
59781,Sat,14:00,15:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL JAPANESE 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
59782,Sat,15:00,16:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
